事件种类
drought
excessive heat
flash flood
flood
freezing fog
frost/freeze
funnel cloud
hail
heat
heavy rain
high wind
lightning
rip current
strong wind
thunderstorm wind
tornado
winter weather
blizzard
cold/wind chill
extreme cold/wind chill
heavy snow
volcanic ashfall
wildfire
winter storm
high surf
dust devil
dust storm
ice storm
marine hail
marine high wind
marine strong wind
marine thunderstorm wind
marine tropical storm
waterspout
marine tropical depression
avalanche
coastal flood
debris flow
dense fog
tropical storm
astronomical low tide
hurricane
storm surge/tide
tropical depression
marine hurricane/typhoon
marine lightning
sleet
lake-effect snow
lakeshore flood
dense smoke
sneakerwave
