Start Year,Country,Start Month,Disaster Subtype,COUNT
2000,Afghanistan,5,Drought,1
2000,Armenia,6,Drought,1
2000,Azerbaijan,10,Drought,1
2000,Azerbaijan,11,Ground movement,1
2000,Azerbaijan,12,Avalanche (wet),1
2000,Bangladesh,1,Cold wave,1
2000,Bangladesh,1,Ground movement,1
2000,Bangladesh,3,Tornado,1
2000,Bangladesh,4,Tropical cyclone,2
2000,Bangladesh,5,Storm (General),2
2000,Bangladesh,6,Flash flood,1
2000,Bangladesh,6,Tornado,1
2000,Bangladesh,8,Coastal flood,1
2000,Bangladesh,9,Flash flood,1
2000,Bangladesh,10,Tropical cyclone,1
2000,Bhutan,8,Riverine flood,1
2000,Cambodia,7,Riverine flood,1
2000,China,1,Ground movement,3
2000,China,1,Storm (General),1
2000,China,3,Storm (General),1
2000,China,4,Drought,1
2000,China,4,Riverine flood,1
2000,China,5,Flash flood,1
2000,China,5,Riverine flood,1
2000,China,5,Storm (General),1
2000,China,6,Flash flood,1
2000,China,6,Ground movement,1
2000,China,6,Landslide (wet),1
2000,China,6,Riverine flood,2
2000,China,6,Storm (General),1
2000,China,7,Flood (General),2
2000,China,7,Tornado,1
2000,China,8,Drought,1
2000,China,8,Ground movement,1
2000,China,8,Landslide (wet),1
2000,China,8,Storm (General),1
2000,China,8,Tropical cyclone,2
2000,China,9,Drought,1
2000,China,9,Tropical cyclone,2
2000,China,10,Flash flood,1
2000,Cyprus,3,Drought,1
2000,Cyprus,6,Forest fire,1
2000,Cyprus,7,Heat wave,1
2000,Democratic People's Republic of Korea,8,Tropical cyclone,1
2000,Georgia,8,Drought,1
2000,India,1,Cold wave,1
2000,India,4,Drought,1
2000,India,6,Flash flood,1
2000,India,6,Landslide (wet),1
2000,India,7,Flash flood,1
2000,India,7,Landslide (wet),1
2000,India,8,Flash flood,1
2000,India,8,Landslide (wet),1
2000,India,8,Riverine flood,1
2000,India,9,Riverine flood,1
2000,India,10,Flood (General),1
2000,India,10,Tropical cyclone,1
2000,India,11,Tropical cyclone,1
2000,Indonesia,2,Forest fire,1
2000,Indonesia,2,Mudslide,1
2000,Indonesia,5,Flash flood,1
2000,Indonesia,5,Ground movement,1
2000,Indonesia,6,Ground movement,2
2000,Indonesia,6,Landslide (wet),1
2000,Indonesia,7,Ground movement,1
2000,Indonesia,10,Ground movement,1
2000,Indonesia,10,Mudslide,1
2000,Indonesia,11,Landslide (wet),1
2000,Indonesia,11,Riverine flood,1
2000,Indonesia,12,Flash flood,1
2000,Iran (Islamic Republic of),1,Storm (General),1
2000,Iran (Islamic Republic of),2,Ground movement,2
2000,Iran (Islamic Republic of),8,Flash flood,1
2000,Iran (Islamic Republic of),9,Flood (General),1
2000,Iran (Islamic Republic of),11,Flash flood,1
2000,Israel,1,Storm (General),1
2000,Israel,7,Heat wave,1
2000,Japan,3,Ash fall,1
2000,Japan,5,Hail,1
2000,Japan,7,Ground movement,1
2000,Japan,7,Tropical cyclone,1
2000,Japan,8,Ash fall,1
2000,Japan,9,Coastal flood,1
2000,Japan,9,Tropical cyclone,1
2000,Japan,10,Ground movement,1
2000,Jordan,1,Storm (General),1
2000,Jordan,7,Heat wave,1
2000,Jordan,8,Drought,1
2000,Kazakhstan,4,Flood (General),1
2000,Kyrgyzstan,10,Cold wave,1
2000,Lao People's Democratic Republic,9,Flood (General),1
2000,Malaysia,9,Storm (General),1
2000,Malaysia,11,Flash flood,1
2000,Mongolia,1,Storm (General),1
2000,Mongolia,2,Drought,1
2000,Mongolia,12,Blizzard/Winter storm,1
2000,Nepal,6,Flood (General),1
2000,Pakistan,6,Heat wave,1
2000,Philippines,1,Coastal flood,1
2000,Philippines,1,Flash flood,1
2000,Philippines,2,Ash fall,1
2000,Philippines,5,Tropical cyclone,1
2000,Philippines,7,Sudden Subsidence (wet),1
2000,Philippines,7,Tropical cyclone,2
2000,Philippines,9,Coastal flood,1
2000,Philippines,10,Tropical cyclone,1
2000,Philippines,11,Landslide (dry),1
2000,Philippines,11,Tropical cyclone,2
2000,Republic of Korea,4,Forest fire,1
