Start Year,Country,Disaster Subtype,COUNT
2000,Argentina,Blizzard/Winter storm,1
2000,Argentina,Cold wave,1
2000,Argentina,Flood (General),3
2000,Argentina,Forest fire,1
2000,Argentina,Lightning/Thunderstorms,1
2000,Argentina,Riverine flood,1
2000,Belize,Tropical cyclone,1
2000,Bolivia (Plurinational State of),Cold wave,1
2000,Bolivia (Plurinational State of),Drought,1
2000,Bolivia (Plurinational State of),Flood (General),1
2000,Bolivia (Plurinational State of),Riverine flood,1
2000,Brazil,Cold wave,1
2000,Brazil,Mudslide,1
2000,Brazil,Riverine flood,4
2000,Canada,Tornado,1
2000,Chile,Cold wave,1
2000,Chile,Flash flood,1
2000,Chile,Riverine flood,1
2000,Colombia,Flood (General),1
2000,Colombia,Ground movement,1
2000,Colombia,Riverine flood,2
2000,Costa Rica,Landslide (wet),1
2000,Cuba,Drought,1
2000,Cuba,Flood (General),1
2000,Ecuador,Flood (General),1
2000,Ecuador,Landslide (wet),1
2000,Ecuador,Mudslide,1
2000,El Salvador,Riverine flood,1
2000,El Salvador,Tropical cyclone,1
2000,French Guiana,Landslide (wet),1
2000,Guatemala,Ash fall,1
2000,Guatemala,Riverine flood,2
2000,Haiti,Flood (General),2
2000,Honduras,Drought,1
2000,Honduras,Forest fire,1
2000,Jamaica,Drought,1
2000,Mexico,Ash fall,1
2000,Mexico,Cold wave,1
2000,Mexico,Flash flood,1
2000,Mexico,Flood (General),2
2000,Mexico,Ground movement,1
2000,Mexico,Severe weather,1
2000,Mexico,Tropical cyclone,1
2000,Nicaragua,Drought,1
2000,Nicaragua,Ground movement,1
2000,Nicaragua,Riverine flood,1
2000,Nicaragua,Tornado,1
2000,Nicaragua,Tropical cyclone,1
2000,Panama,Flood (General),1
2000,Paraguay,Cold wave,1
2000,Peru,Flash flood,1
2000,Peru,Landslide (wet),1
2000,United States of America,Blizzard/Winter storm,2
2000,United States of America,Drought,2
2000,United States of America,Flash flood,2
2000,United States of America,Flood (General),3
2000,United States of America,Forest fire,7
2000,United States of America,Ground movement,1
2000,United States of America,Heat wave,1
2000,United States of America,Riverine flood,3
2000,United States of America,Severe weather,1
2000,United States of America,Storm (General),2
2000,United States of America,Tornado,6
2000,United States of America,Tropical cyclone,1
2000,Uruguay,Cold wave,1
2000,Uruguay,Flood (General),1
2000,Uruguay,Storm (General),1
2000,Venezuela (Bolivarian Republic of),Flood (General),1
2000,Venezuela (Bolivarian Republic of),Riverine flood,1
2001,Argentina,Cold wave,1
2001,Argentina,Flood (General),2
2001,Argentina,Forest fire,1
2001,Argentina,Riverine flood,1
2001,Argentina,Storm (General),2
2001,Bahamas,Tropical cyclone,1
2001,Belize,Tropical cyclone,2
2001,Bolivia (Plurinational State of),Cold wave,1
2001,Bolivia (Plurinational State of),Riverine flood,1
2001,Brazil,Drought,1
2001,Brazil,Flash flood,1
2001,Brazil,Lightning/Thunderstorms,1
2001,Brazil,Riverine flood,2
2001,Canada,Forest fire,1
2001,Canada,Storm (General),1
2001,Chile,Flood (General),3
2001,Chile,Storm (General),1
2001,Colombia,Forest fire,1
2001,Colombia,Landslide (wet),2
2001,Colombia,Riverine flood,2
2001,Colombia,Tornado,1
2001,Costa Rica,Flood (General),1
2001,Cuba,Tropical cyclone,1
2001,Dominican Republic,Tropical cyclone,1
