Start Year,Country,province,Disaster Subtype,COUNT
2000,Afghanistan,Uruzgan,drought,1
2000,Armenia,Lori,drought,1
2000,Azerbaijan,Yukhari Garabakh,drought,1
2000,Bangladesh,Chittagong,coastal flood,1
2000,Bangladesh,Chittagong,flash flood,1
2000,Bangladesh,Chittagong,ground movement,1
2000,Bangladesh,Dhaka,tropical cyclone,1
2000,Bangladesh,Khulna,flash flood,1
2000,Bangladesh,Rajshahi,tornado,1
2000,Bangladesh,Sylhet,cold wave,1
2000,Bhutan,Chhukha,riverine flood,1
2000,Cambodia,Kampong Speu,riverine flood,1
2000,China,Anhui Sheng,drought,1
2000,China,Gansu Sheng,flash flood,1
2000,China,Gansu Sheng,ground movement,1
2000,China,Guandong,flash flood,1
2000,China,Guangdong Sheng,tropical cyclone,1
2000,China,Guizhou Sheng,landslide (wet),1
2000,China,Guizhou Sheng,riverine flood,1
2000,China,Hainan Sheng,storm (general),1
2000,China,Jiangsu Sheng,tornado,1
2000,China,Jiangsu Sheng,tropical cyclone,1
2000,China,Jiangxi Sheng,riverine flood,1
2000,China,Liaoning Sheng,ground movement,1
2000,China,Shaanxi Sheng,flood (general),1
2000,China,Shaanxi Sheng,storm (general),1
2000,China,Shanxi Sheng,storm (general),1
2000,China,Sichuan Sheng,flood (general),1
2000,China,Yunnan Sheng,flash flood,1
2000,China,Yunnan Sheng,ground movement,3
2000,China,Yunnan Sheng,landslide (wet),1
2000,China,Zhejiang Sheng,tropical cyclone,1
2000,Cyprus,Paphos,drought,1
2000,Georgia,Imereti,drought,1
2000,India,Arunachal Pradesh,flash flood,1
2000,India,Maharashtra,drought,1
2000,India,Maharashtra,landslide (wet),1
2000,India,Tamil Nadu,tropical cyclone,1
2000,India,Uttarakhand,landslide (wet),1
2000,India,West Bengal,cold wave,1
2000,Indonesia,Bengkulu,ground movement,1
2000,Indonesia,Jambi,riverine flood,1
2000,Indonesia,Jawa Barat,ground movement,1
2000,Indonesia,Kalimatan Tengah,forest fire,1
2000,Indonesia,Nusatenggara Barat,flash flood,1
2000,Indonesia,Nusatenggara Timur,flash flood,1
2000,Indonesia,Sulawesi Tengah,ground movement,1
2000,Indonesia,Sulawesi Tengah,landslide (wet),1
2000,Iran (Islamic Republic of),Gilan,flash flood,1
2000,Iran (Islamic Republic of),Khorasan,flash flood,1
2000,Iran (Islamic Republic of),Khorasan,ground movement,1
2000,Israel,Tel Aviv,heat wave,1
2000,Israel,Tel Aviv,storm (general),1
2000,Japan,Gifu,coastal flood,1
2000,Japan,Gifu,tropical cyclone,1
2000,Japan,Ibaraki,hail,1
2000,Japan,Okayama,ground movement,1
2000,Jordan,Zarqa,drought,1
2000,Jordan,Zarqa,storm (general),1
2000,Lao People's Democratic Republic,Vientiane capital,flood (general),1
2000,Mongolia,Zavxan,blizzard/winter storm,1
2000,Nepal,Central,flood (general),1
2000,Republic of Korea,Seoul,flood (general),1
2000,Tajikistan,Khatlon,ground movement,1
2000,Thailand,Trang,riverine flood,1
2000,Thailand,Ubon Ratchathani,flood (general),1
2000,Thailand,Ubon Ratchathani,tropical cyclone,1
2000,Türkiye,Balikesir,forest fire,1
2000,Türkiye,Manisa,forest fire,1
2000,Türkiye,Tokat,riverine flood,1
2000,Türkiye,Zonguldak,heat wave,1
2000,Uzbekistan,Khorezm,drought,1
2000,Viet Nam,Ca Mau,tornado,1
2000,Viet Nam,Da Nang City,tropical cyclone,1
2000,Viet Nam,Lao Cai,landslide (wet),1
2000,Viet Nam,Nam Dinh,storm (general),1
2000,Viet Nam,Tien Giang,riverine flood,1
2001,Afghanistan,Baghlan,cold wave,1
2001,Afghanistan,Kapisa,ground movement,1
2001,Bangladesh,Sylhet,riverine flood,1
2001,Cambodia,Kampong Cham,riverine flood,1
2001,Cambodia,Takeo,drought,1
2001,China,Chongqing Shi,landslide (wet),1
2001,China,Gansu Sheng,riverine flood,1
2001,China,Guangxi Zhuangzu Zizhiqu,tropical cyclone,2
2001,China,Hainan Sheng,tropical cyclone,1
2001,China,Hunan Sheng,riverine flood,2
2001,China,Liaoning Sheng,landslide (wet),1
2001,China,Shanghai Shi,tropical cyclone,1
2001,China,Sichuan Sheng,flash flood,1
2001,China,Sichuan Sheng,ground movement,1
2001,China,Sichuan Sheng,landslide (wet),1
2001,China,Yunnan Sheng,drought,1
2001,China,Yunnan Sheng,ground movement,4
2001,China,Yunnan Sheng,landslide (wet),2
2001,China,Yunnan Sheng,riverine flood,1
2001,China,Zhejiang Sheng,tropical cyclone,1
2001,India,Assam,riverine flood,1
2001,India,Kerala,flood (general),1
2001,India,Kerala,landslide (wet),1
2001,India,Kerala,tropical cyclone,1
2001,India,Orissa,riverine flood,1
2001,India,Punjab,cold wave,1
2001,India,Rajasthan,cold wave,1
2001,India,Uttar Pradesh,flash flood,1
2001,Indonesia,Banten,landslide (wet),1
2001,Indonesia,Dki Jakarta,flash flood,1
2001,Indonesia,Jawa Tengah,landslide (wet),2
2001,Indonesia,Papua,flood (general),1
2001,Indonesia,Sulawesi Utara,landslide (wet),1
2001,Iran (Islamic Republic of),Gilan,flash flood,1
2001,Iran (Islamic Republic of),Semnan,flash flood,1
2001,Japan,Ehime,ground movement,1
2001,Japan,Mie,tropical cyclone,1
2001,Japan,Okinawa,storm (general),1
2001,Japan,Tookyoo,storm (general),1
2001,Lao People's Democratic Republic,Attapu,flood (general),1
2001,Malaysia,Pulau Pinang,flash flood,1
2001,Malaysia,Sabah,flood (general),1
2001,Malaysia,Terengganu,riverine flood,1
2001,Myanmar,Mandaly,riverine flood,1
2001,Pakistan,Balochistan,cold wave,1
2001,Pakistan,Punjab,tornado,1
2001,Pakistan,Sindh,mudslide,1
2001,Philippines,Region IX,flash flood,1
2001,Philippines,Region VI,riverine flood,1
2001,Republic of Korea,Seoul,flash flood,1
2001,Republic of Korea,Taejon,drought,1
2001,Syrian Arab Republic,Dara,sand/dust storm,1
2001,Thailand,Lampang,flash flood,1
2001,Thailand,Nan,flash flood,1
2001,Thailand,Yasothon,flood (general),1
2001,Türkiye,Adana,riverine flood,1
2001,Türkiye,Cannakale,cold wave,1
2001,Türkiye,Hatay,riverine flood,1
2001,Viet Nam,Ben Tre,riverine flood,1
2001,Viet Nam,Phu Yen,flash flood,1
2001,Viet Nam,Quang Tri,tropical cyclone,1
2001,Viet Nam,Thanh Hoa,tropical cyclone,1
2001,Viet Nam,Vinh Phuc,tropical cyclone,1
2001,Yemen,Al Hudaydah,flash flood,1
2002,Afghanistan,Badakhshan,ground movement,1
2002,Afghanistan,Baghlan,ground movement,1
2002,Afghanistan,Balkh,flood (general),1
2002,Afghanistan,Faryab,riverine flood,1
2002,Bangladesh,Rajshahi,flash flood,1
2002,Bangladesh,Rangpur,cold wave,1
2002,Cambodia,Battambang,drought,1
2002,Cambodia,Kampot,riverine flood,1
2002,China,Chongqing Shi,landslide (wet),1
2002,China,Gansu Sheng,coastal flood,1
2002,China,Gansu Sheng,ground movement,1
2002,China,Guangdong,tornado,1
2002,China,Guangdong Sheng,hail,1
2002,China,Guangdong Sheng,riverine flood,1
2002,China,Guangxi Zhuangzu Zizhiqu,drought,1
2002,China,Hubei Sheng,landslide (wet),1
2002,China,Hunan Sheng,flood (general),1
2002,China,Sichuan Sheng,ground movement,1
2002,China,Sichuan Sheng,tropical cyclone,1
2002,China,Xinjiang Uygur Zizhiqu,flood (general),1
