Start Year,Country,province,Disaster Subtype,COUNT
2000,Argentina,Buenos Aires,lightning/thunderstorms,1
2000,Argentina,Formosa,forest fire,1
2000,Argentina,La Cordoba,flood (general),1
2000,Argentina,Santa Cruz,cold wave,1
2000,Argentina,Santa Fe,flood (general),2
2000,Argentina,Tucuman,riverine flood,1
2000,Belize,Orange Walk,tropical cyclone,1
2000,Bolivia (Plurinational State of),La Paz,cold wave,1
2000,Bolivia (Plurinational State of),Tarija,flood (general),1
2000,Bolivia (Plurinational State of),Tarija,riverine flood,1
2000,Brazil,Pernambuco,mudslide,1
2000,Brazil,Pernambuco,riverine flood,1
2000,Brazil,Rio de Janeiro,riverine flood,1
2000,Canada,Alberta,tornado,1
2000,Chile,Tarapaca,cold wave,1
2000,Colombia,Amazonas,riverine flood,1
2000,Colombia,Valle,flood (general),1
2000,Costa Rica,Puntarenas,landslide (wet),1
2000,Cuba,Camaguey,drought,1
2000,Ecuador,Imbabura,flood (general),1
2000,El Salvador,Usulutan,riverine flood,1
2000,El Salvador,Usulutan,tropical cyclone,1
2000,Guatemala,Alta Verapaz,riverine flood,1
2000,Guatemala,Escuintla,ash fall,1
2000,Guatemala,Zacapa,riverine flood,1
2000,Haiti,Grande Anse,flood (general),1
2000,Haiti,Nord,flood (general),1
2000,Honduras,Francisco Morazan,drought,1
2000,Honduras,Yoro,forest fire,1
2000,Jamaica,Westmoreland,drought,1
2000,Mexico,Guerrero,severe weather,1
2000,Mexico,Morelos,ash fall,1
2000,Mexico,Oaxaca,flood (general),1
2000,Mexico,Tamaulipas,tropical cyclone,1
2000,Mexico,Zacatecas,flash flood,1
2000,Nicaragua,Masaya,ground movement,1
2000,Nicaragua,Nueva Segovia,drought,1
2000,Nicaragua,Rivas,tropical cyclone,1
2000,Paraguay,San Pedro,cold wave,1
2000,Peru,Cusco,landslide (wet),1
2000,Peru,Huancavelica,flash flood,1
2000,United States of America,Alabama,heat wave,1
2000,United States of America,California,ground movement,1
2000,United States of America,Florida,forest fire,1
