State Name,Population,Annual GDP,Per Capita GDP,Percentage of US Population,Percentage of US GDP,Ratio of State Per Capita GDP to National Average,Relative GDP per Capita
Connecticut,3605944,280900.0,77899.16,0.01087932364529703,0.013493379675494787,1.2402774396115859,24.03
Maine,1362359,66195.75,48589.06,0.004110309112421939,0.003179794900869114,0.7736145418502275,-22.64
Massachusetts,7029917,584038.75,83079.04,0.021209631165258133,0.02805502527216583,1.3227493233413983,32.27
New Hampshire,1377529,85109.0,61783.82,0.004156077804253858,0.004088316307588771,0.9836958065136001,-1.63
Rhode Island,1097379,60224.5,54880.31,0.0033108504465272923,0.0028929585057559126,0.8737810881159851,-12.62
Vermont,643077,32797.0,51000.11,0.0019401972997491583,0.0015754445468750536,0.8120022366172438,-18.8
Delaware,989948,75512.5,76279.26,0.0029867254411090425,0.0036273365352289073,1.214486100832218,21.45
District of Columbia,689545,143532.5,208155.38,0.002080393711881366,0.006894761546005538,3.3141618851416283,231.42
Maryland,6177224,422726.5,68433.09,0.01863701131395726,0.02030619139691366,1.0895626479394982,8.96
New Jersey,9288994,619061.5,66644.62,0.02802538588098491,0.029737386479107567,1.0610874942237367,6.11
New York,20201249,1699044.75,84105.93,0.060948235998737915,0.08161572053188366,1.3390989779191267,33.91
Pennsylvania,13002700,780176.0,60001.08,0.03922983317619567,0.03747672118799865,0.9553117654025408,-4.47
Illinois,12812508,863516.5,67396.37,0.03865601385932709,0.04148008540603202,1.073056460425071,7.31
Indiana,6785528,372636.75,54916.4,0.020472296634730065,0.01790006816942838,0.8743556469898912,-12.56
Michigan,10077331,515928.25,51196.91,0.030403840278657897,0.024783252981714465,0.8151356129544982,-18.49
Ohio,11799448,675037.0,57209.2,0.035599558292600426,0.032426239003228816,0.9108607117175608,-8.91
Wisconsin,5893718,338678.5,57464.32,0.017781658726844545,0.01626884153943418,0.9149226058912884,-8.51
Iowa,3190369,192710.25,60403.75,0.009625511904489544,0.009257075723066997,0.9617229519761229,-3.83
Kansas,2937880,173298.0,58987.43,0.008863739245824462,0.008324584232836937,0.9391729609778953,-6.08
Minnesota,5706494,374351.75,65601.01,0.01721679402285383,0.017982450320170543,1.044471479202247,4.45
Missouri,6154913,321709.0,52268.65,0.018569697847677636,0.015453690573242265,0.8321993551001657,-16.78
Nebraska,1961504,128808.75,65668.36,0.005917961246082776,0.0061874879646703065,1.045543846500505,4.55
North Dakota,779094,54033.0,69353.63,0.0023505677781210815,0.002595542128892879,1.1042192244154803,10.42
South Dakota,886667,54852.0,61863.13,0.002675121205044943,0.0026348838090432185,0.9849586643304826,-1.5
Alabama,5024279,224870.25,44756.72,0.015158515308410036,0.010801921185380675,0.7125975707784327,-28.74
Arkansas,3011524,129073.75,42859.94,0.009085927086382789,0.006200217568137755,0.682397900532364,-31.76
Florida,21538187,1095888.25,50881.17,0.06498184861049676,0.052642350442020466,0.8101085390408077,-18.99
Georgia,10711908,619240.25,57808.59,0.032318392629127474,0.02974597295691816,0.920403848615575,-7.96
Kentucky,4505836,210024.0,46611.55,0.013594345374368152,0.010088763164706718,0.7421293844519256,-25.79
Louisiana,4657757,241990.75,51954.35,0.014052699061368608,0.01162432562373706,0.827195229398512,-17.28
Mississippi,2961279,114200.5,38564.59,0.008934335265611874,0.005485762568997303,0.6140090343499782,-38.6
North Carolina,10439388,586136.5,56146.63,0.0314961853846954,0.02815579329357654,0.8939429632408112,-10.61
South Carolina,5118425,241688.75,47219.36,0.015442558766630723,0.01160981867940812,0.7518066697920143,-24.82
Tennessee,6910840,364486.0,52741.2,0.020850369562273995,0.01750853679032536,0.8397230916235057,-16.03
Virginia,8631393,551760.25,63924.82,0.026041368905549082,0.026504487515471423,1.017783957963272,1.78
West Virginia,1793716,73709.25,41093.04,0.005411735981409475,0.003540715186350887,0.6542660614845285,-34.57
Arizona,7151502,372461.0,52081.51,0.021576459536806175,0.017891625800336288,0.8292197229956046,-17.08
New Mexico,2117522,100310.25,47371.53,0.006388675798635991,0.004818527193285158,0.754229412347694,-24.58
Oklahoma,3959353,186581.5,47124.24,0.011945577278232202,0.008962673620232576,0.7502922137186945,-24.97
Texas,29145505,1759734.25,60377.55,0.0879335291121057,0.08453101588900698,0.9613058493448968,-3.87
Colorado,5773714,390098.75,67564.61,0.017419600315862503,0.01873887698357395,1.0757351858704873,7.57
Idaho,1839106,84032.25,45691.9,0.005548680010562461,0.004036593286707358,0.7274871282941715,-27.25
Montana,1084225,51488.75,47488.99,0.00327116413325392,0.0024733259265455046,0.7560996103504035,-24.39
Utah,3271616,194985.75,59599.22,0.009870638397915245,0.009366382186048799,0.9489135158701641,-5.11
Wyoming,576851,36241.5,62826.45,0.0017403899572797686,0.0017409053738321263,1.0002961500382153,0.03
Alaska,733391,50246.5,68512.57,0.0022126794114240363,0.002413652908026874,1.0908281134470785,9.08
California,39538223,3091871.5,78199.56,0.11928890863999189,0.14852187987661652,1.2450602622650218,24.51
Hawaii,1455271,89856.25,61745.37,0.004390629527417801,0.004316356345554213,0.9830837055598108,-1.69
Nevada,3104614,172597.5,55593.87,0.009366784536787093,0.008290934847067324,0.8851420478933321,-11.49
Oregon,4237256,250458.5,59108.65,0.012784025318190386,0.012031084490761521,0.9411029930958048,-5.89
Washington,7705281,618705.0,80296.23,0.023247240050582582,0.02972026155972589,1.2784425804981134,27.84
