Population,STATE
39538223,California
29145505,Texas
21538187,Florida
20201249,New York
13002700,Pennsylvania
12812508,Illinois
11799448,Ohio
10711908,Georgia
10439388,North Carolina
10077331,Michigan
9288994,New Jersey
8631393,Virginia
7705281,Washington
7151502,Arizona
7029917,Massachusetts
6910840,Tennessee
6785528,Indiana
6177224,Maryland
6154913,Missouri
5893718,Wisconsin
5773714,Colorado
5706494,Minnesota
5118425,South Carolina
5024279,Alabama
4657757,Louisiana
4505836,Kentucky
4237256,Oregon
3959353,Oklahoma
3605944,Connecticut
3285874,Puerto Rico
3271616,Utah
3190369,Iowa
3104614,Nevada
3011524,Arkansas
2961279,Mississippi
2937880,Kansas
2117522,New Mexico
1961504,Nebraska
1839106,Idaho
1793716,West Virginia
1455271,Hawaii
1377529,New Hampshire
1362359,Maine
1097379,Rhode Island
1084225,Montana
989948,Delaware
886667,South Dakota
779094,North Dakota
733391,Alaska
689545,District of Columbia
643077,Vermont
576851,Wyoming
153836,Guam
87146,U.S. Virgin Islands
49710,American Samoa
47329,Northern Mariana Islands
329260619,Contiguous United States
330759736,The fifty states
331449281,Fifty states + D.C.
335073176,Total U.S. (including D.C. and territories)
