Country,province,Disaster Subtype,rate
Argentina,Buenos Aires,cold wave,0.00022742779167614282
Argentina,Buenos Aires,flood (general),0.00011371389583807141
Argentina,Buenos Aires,lightning/thunderstorms,0.0003411416875142142
Argentina,Buenos Aires,riverine flood,0.00011371389583807141
Argentina,Buenos Aires,storm (general),0.00011371389583807141
Argentina,Cardoba,riverine flood,0.00011371389583807141
Argentina,Catamarca,landslide (wet),0.00011371389583807141
Argentina,Chubut,ash fall,0.00011371389583807141
Argentina,Corrientes,flood (general),0.00011371389583807141
Argentina,Corrientes,riverine flood,0.00011371389583807141
Argentina,Entre Rios,riverine flood,0.00011371389583807141
Argentina,Entre Ríos,flood (general),0.00011371389583807141
Argentina,Formosa,flood (general),0.00011371389583807141
Argentina,Formosa,forest fire,0.00011371389583807141
Argentina,Formosa,riverine flood,0.00011371389583807141
Argentina,Jujuy,storm (general),0.00011371389583807141
Argentina,La Cordoba,flood (general),0.00011371389583807141
Argentina,La Rioja,riverine flood,0.00011371389583807141
Argentina,La Rioja,severe winter conditions,0.00011371389583807141
Argentina,Misiones,severe weather,0.00011371389583807141
Argentina,Neuquen,ash fall,0.00011371389583807141
Argentina,Neuquen,forest fire,0.00011371389583807141
Argentina,Neuquen,riverine flood,0.00011371389583807141
Argentina,Rio Negro,ash fall,0.00011371389583807141
Argentina,Salta,riverine flood,0.00011371389583807141
Argentina,Santa Cruz,cold wave,0.00011371389583807141
Argentina,Santa Cruz,flood (general),0.00011371389583807141
Argentina,Santa Fe,drought,0.00011371389583807141
Argentina,Santa Fe,flood (general),0.00022742779167614282
Argentina,Santa Fe,riverine flood,0.0006822833750284285
Argentina,Santiago del Estero,drought,0.00022742779167614282
Argentina,Santiago del Estero,riverine flood,0.00011371389583807141
Argentina,Tucuman,cold wave,0.00022742779167614282
Argentina,Tucuman,riverine flood,0.00022742779167614282
Barbados,Christ Church,tropical cyclone,0.00022742779167614282
Belize,Corozal,flood (general),0.00011371389583807141
Belize,Orange Walk,riverine flood,0.00011371389583807141
Belize,Orange Walk,tropical cyclone,0.0003411416875142142
Belize,Stann Creek,tropical cyclone,0.0003411416875142142
Belize,Toledo,tropical cyclone,0.00022742779167614282
Bolivia (Plurinational State of),Beni,drought,0.00011371389583807141
Bolivia (Plurinational State of),Beni,riverine flood,0.00022742779167614282
Bolivia (Plurinational State of),Chuquisaca,drought,0.00011371389583807141
Bolivia (Plurinational State of),Cochabamba,heat wave,0.00011371389583807141
Bolivia (Plurinational State of),La Paz,cold wave,0.00011371389583807141
Bolivia (Plurinational State of),La Paz,drought,0.00011371389583807141
Bolivia (Plurinational State of),La Paz,flash flood,0.00011371389583807141
Bolivia (Plurinational State of),La Paz,flood (general),0.00011371389583807141
Bolivia (Plurinational State of),La Paz,forest fire,0.00011371389583807141
Bolivia (Plurinational State of),La Paz,riverine flood,0.00022742779167614282
Bolivia (Plurinational State of),La Paz and Santa Cruz,riverine flood,0.00011371389583807141
Bolivia (Plurinational State of),Pando,flood (general),0.00011371389583807141
Bolivia (Plurinational State of),Pando,forest fire,0.00011371389583807141
Bolivia (Plurinational State of),Potosi,cold wave,0.00011371389583807141
Bolivia (Plurinational State of),Santa Cruz,drought,0.00011371389583807141
Bolivia (Plurinational State of),Santa Cruz,riverine flood,0.00011371389583807141
Bolivia (Plurinational State of),Tarija,drought,0.00011371389583807141
Bolivia (Plurinational State of),Tarija,flood (general),0.00011371389583807141
Bolivia (Plurinational State of),Tarija,forest fire,0.00011371389583807141
Bolivia (Plurinational State of),Tarija,riverine flood,0.0007959972708664999
Bolivia (Plurinational State of),Tarija,severe weather,0.00011371389583807141
Brazil,Acre,riverine flood,0.00011371389583807141
Brazil,Amazonas,riverine flood,0.00011371389583807141
Brazil,Bahia,drought,0.00011371389583807141
Brazil,Ceara,riverine flood,0.00011371389583807141
Brazil,Espirito Santo,riverine flood,0.00022742779167614282
Brazil,Minas Gerais,drought,0.00011371389583807141
Brazil,Minas Gerais,heat wave,0.00011371389583807141
Brazil,Minas Gerais,riverine flood,0.0003411416875142142
Brazil,Parana,cold wave,0.00011371389583807141
Brazil,Parana,lightning/thunderstorms,0.00011371389583807141
Brazil,Paraíba,flash flood,0.00011371389583807141
Brazil,Pernambuco,drought,0.00011371389583807141
Brazil,Pernambuco,mudslide,0.00011371389583807141
Brazil,Pernambuco,riverine flood,0.00022742779167614282
Brazil,Piaui,drought,0.00011371389583807141
Brazil,Rio De Janeiro,riverine flood,0.00011371389583807141
Brazil,Rio Grande Do Sul,riverine flood,0.00011371389583807141
Brazil,Rio Grande do Norte,riverine flood,0.00011371389583807141
Brazil,Rio Grande do Sul,extra-tropical storm,0.00011371389583807141
Brazil,Rio Grande do Sul,riverine flood,0.00022742779167614282
Brazil,Rio de Janeiro,flash flood,0.0003411416875142142
Brazil,Rio de Janeiro,mudslide,0.00022742779167614282
Brazil,Rio de Janeiro,riverine flood,0.0006822833750284285
Brazil,Santa Catarina,flood (general),0.00011371389583807141
Brazil,Santa Catarina,severe weather,0.00011371389583807141
Brazil,Sao Paulo,flood (general),0.00011371389583807141
Brazil,Sao Paulo,riverine flood,0.00022742779167614282
Brazil,Sao Paulo,storm (general),0.00011371389583807141
Brazil,Sergipe,drought,0.00011371389583807141
Canada,Alberta,forest fire,0.00022742779167614282
Canada,Alberta,riverine flood,0.00022742779167614282
Canada,Alberta,severe weather,0.00011371389583807141
Canada,Alberta,tornado,0.00011371389583807141
Canada,Bristish Columbia,riverine flood,0.00011371389583807141
Canada,British Columbia,forest fire,0.00011371389583807141
Canada,British Columbia,riverine flood,0.00022742779167614282
Canada,Manitoba,forest fire,0.00011371389583807141
Canada,Manitoba,riverine flood,0.00011371389583807141
Canada,New Brunswick,riverine flood,0.00011371389583807141
Canada,Newfoundland and Labrador,blizzard/winter storm,0.00011371389583807141
