Start Year,Country,province,Disaster Subtype,COUNT
2000,Afghanistan,Uruzgan,drought,1
2000,Armenia,Lori,drought,1
2000,Azerbaijan,Yukhari Garabakh,drought,1
2000,Bangladesh,Khulna,flash flood,1
2000,Cambodia,Kampong Speu,riverine flood,1
2000,China,Anhui Sheng,drought,1
2000,China,Gansu Sheng,flash flood,1
2000,China,Guandong,flash flood,1
2000,China,Guangdong Sheng,tropical cyclone,1
2000,China,Guizhou Sheng,riverine flood,1
2000,China,Hainan Sheng,storm (general),1
2000,China,Jiangsu Sheng,tornado,1
2000,China,Jiangsu Sheng,tropical cyclone,1
2000,China,Jiangxi Sheng,riverine flood,1
2000,China,Shaanxi Sheng,flood (general),1
2000,China,Shaanxi Sheng,storm (general),1
2000,China,Yunnan Sheng,ground movement,3
2000,China,Yunnan Sheng,landslide (wet),1
2000,China,Zhejiang Sheng,tropical cyclone,1
2000,Georgia,Imereti,drought,1
2000,India,Maharashtra,drought,1
2000,Indonesia,Bengkulu,ground movement,1
2000,Indonesia,Jambi,riverine flood,1
2000,Indonesia,Jawa Barat,ground movement,1
2000,Indonesia,Nusatenggara Timur,flash flood,1
2000,Indonesia,Sulawesi Tengah,ground movement,1
2000,Iran (Islamic Republic of),Khorasan,flash flood,1
2000,Israel,Tel Aviv,storm (general),1
2000,Japan,Gifu,coastal flood,1
2000,Japan,Gifu,tropical cyclone,1
2000,Japan,Ibaraki,hail,1
2000,Japan,Okayama,ground movement,1
2000,Lao People's Democratic Republic,Vientiane capital,flood (general),1
2000,Nepal,Central,flood (general),1
2000,Republic of Korea,Seoul,flood (general),1
2000,Thailand,Trang,riverine flood,1
2000,Thailand,Ubon Ratchathani,flood (general),1
2000,Türkiye,Tokat,riverine flood,1
2000,Türkiye,Zonguldak,heat wave,1
2000,Uzbekistan,Khorezm,drought,1
2000,Viet Nam,Da Nang City,tropical cyclone,1
2000,Viet Nam,Tien Giang,riverine flood,1
2001,Afghanistan,Baghlan,cold wave,1
2001,Cambodia,Kampong Cham,riverine flood,1
2001,China,Gansu Sheng,riverine flood,1
2001,China,Guangxi Zhuangzu Zizhiqu,tropical cyclone,2
2001,China,Hainan Sheng,tropical cyclone,1
2001,China,Hunan Sheng,riverine flood,2
2001,China,Sichuan Sheng,flash flood,1
2001,China,Sichuan Sheng,ground movement,1
2001,China,Yunnan Sheng,ground movement,2
2001,China,Yunnan Sheng,riverine flood,1
2001,China,Zhejiang Sheng,tropical cyclone,1
2001,India,Orissa,riverine flood,1
2001,India,Uttar Pradesh,flash flood,1
2001,Indonesia,Banten,landslide (wet),1
2001,Indonesia,Dki Jakarta,flash flood,1
2001,Iran (Islamic Republic of),Semnan,flash flood,1
2001,Japan,Ehime,ground movement,1
2001,Japan,Mie,tropical cyclone,1
2001,Republic of Korea,Seoul,flash flood,1
2001,Thailand,Lampang,flash flood,1
2001,Thailand,Nan,flash flood,1
2001,Türkiye,Adana,riverine flood,1
2001,Viet Nam,Ben Tre,riverine flood,1
2001,Viet Nam,Phu Yen,flash flood,1
2001,Viet Nam,Quang Tri,tropical cyclone,1
2001,Viet Nam,Thanh Hoa,tropical cyclone,1
2001,Viet Nam,Vinh Phuc,tropical cyclone,1
2002,Cambodia,Battambang,drought,1
2002,Cambodia,Kampot,riverine flood,1
2002,China,Guangdong,tornado,1
2002,China,Hunan Sheng,flood (general),1
2002,China,Xinjiang Uygur Zizhiqu,flood (general),1
2002,China,Yunnan Sheng,flash flood,1
2002,China,Yunnan Sheng,riverine flood,1
2002,China,Zheijiang,storm (general),1
2002,China,Zhejiang Sheng,storm (general),1
2002,India,Maharashrta,riverine flood,1
2002,India,Manipur,riverine flood,1
2002,India,Tamil Nadu,drought,1
2002,Iran (Islamic Republic of),Ghazvin,ground movement,1
2002,Iran (Islamic Republic of),Kerman,riverine flood,1
2002,Iran (Islamic Republic of),Semnan,riverine flood,1
2002,Kyrgyzstan,Osh,landslide (wet),1
2002,Republic of Korea,Taejon,storm (general),1
2002,Taiwan (Province of China),Taiwan Sheng,ground movement,1
2002,Tajikistan,Badakhshoni Kuni,flash flood,1
2002,Thailand,Nakhon Ratchasima,drought,1
2002,Thailand,Ubon Ratchathani,flash flood,1
2002,Viet Nam,An Giang,riverine flood,1
2002,Viet Nam,Lam Dong,riverine flood,1
2002,Viet Nam,Long An,drought,1
2002,Viet Nam,Nghe An,riverine flood,1
2003,China,Anhui Sheng,riverine flood,1
2003,China,Fujian Sheng,riverine flood,1
2003,China,Fujian Sheng,tropical cyclone,1
2003,China,Gansu Sheng,ground movement,1
2003,China,Guangdong Sheng,tropical cyclone,1
2003,China,Guizhou Sheng,riverine flood,1
2003,China,Hunan Sheng,riverine flood,1
2003,China,Nei Mongol Zizhiqu,ground movement,1
2003,China,Shaanxi Sheng,riverine flood,1
2003,China,Xinjiang Uygur Zizhiqu,ground movement,2
2003,China,Yunnan Sheng,ground movement,2
2003,Cyprus,Larnaca,tornado,1
2003,India,Bihar,heat wave,1
2003,Indonesia,Nusatenggara Timur,drought,1
2003,Iran (Islamic Republic of),Fars,ground movement,1
2003,Japan,Aomori,ground movement,1
2003,Japan,Ehime,tropical cyclone,1
2003,Mongolia,Bayanxongor,flash flood,1
2003,Oman,Muscat,storm (general),1
2003,Sri Lanka,Southern,flash flood,1
2003,Tajikistan,Tadzhikistan Territories,mudslide,1
2003,Thailand,Prachuap Khilikhan,riverine flood,1
2003,Thailand,Yala,flash flood,1
2003,Türkiye,Bingol,ground movement,1
2003,Viet Nam,Dak Lak,riverine flood,1
2003,Viet Nam,Ha Tinh,riverine flood,1
2003,Viet Nam,Thua Thien Hue,coastal flood,1
2004,Bangladesh,Dhaka,riverine flood,1
2004,Bangladesh,Khulna,tsunami,1
2004,China,Chongqing Shi,riverine flood,1
2004,China,Fujian Sheng,tropical cyclone,1
2004,China,Guangdong,tornado,1
2004,China,Hunan Sheng,hail,1
2004,China,Nei Mongol Zizhiqu,ground movement,1
2004,China,Yunnan Sheng,ground movement,1
2004,China,Yunnan Sheng,riverine flood,1
2004,India,Andaman and Nicobar,tsunami,1
2004,India,Jammu and Kashmir,riverine flood,1
2004,India,Rajasthan,riverine flood,1
2004,Indonesia,Jawa Tengah,landslide (wet),1
2004,Indonesia,Sumatera Utara,tsunami,1
2004,Iran (Islamic Republic of),Mazandaran,ground movement,1
2004,Japan,Aiti,tropical cyclone,1
2004,Japan,Hukusima,flash flood,1
2004,Japan,Kagosima,tropical cyclone,1
2004,Japan,Kooti,tropical cyclone,1
2004,Japan,Okinawa,tropical cyclone,2
2004,Japan,Saga,tropical cyclone,1
2004,Malaysia,Pahang,riverine flood,1
2004,Maldives,Vaavu,tsunami,1
2004,Myanmar,Rakhine,tropical cyclone,1
2004,Republic of Korea,Taejon,blizzard/winter storm,1
2004,Republic of Korea,Taejon,tropical cyclone,1
2004,Taiwan (Province of China),Taiwan Sheng,tropical cyclone,1
2004,Thailand,Trang,tsunami,1
2004,Viet Nam,Ha Giang,flash flood,1
2004,Viet Nam,Quang Binh,tropical cyclone,1
2004,Viet Nam,Quang Ngai,tropical cyclone,1
2005,Afghanistan,Wardak,storm (general),1
2005,China,Chongqing Shi,storm (general),1
2005,China,Fujian Sheng,riverine flood,1
2005,China,Gansu Sheng,flash flood,1
2005,China,Guangdong Sheng,tropical cyclone,1
2005,China,Guangxi Zhuangzu Zizhiqu,riverine flood,1
