Country,province,Disaster Subtype,rate
Afghanistan,Baghlan,cold wave,0.0001137915339098771
Afghanistan,Balkh,riverine flood,0.0001137915339098771
Afghanistan,Ghor,drought,0.0001137915339098771
Afghanistan,Uruzgan,drought,0.0001137915339098771
Afghanistan,Wardak,storm (general),0.0001137915339098771
Armenia,Lori,drought,0.0001137915339098771
Azerbaijan,Yukhari Garabakh,drought,0.0001137915339098771
Bangladesh,Chittagong,severe weather,0.0001137915339098771
Bangladesh,Dhaka,riverine flood,0.0002275830678197542
Bangladesh,Khulna,flash flood,0.0001137915339098771
Bangladesh,Khulna,tsunami,0.0001137915339098771
Cambodia,Battambang,drought,0.0001137915339098771
Cambodia,Kampong Cham,riverine flood,0.0001137915339098771
Cambodia,Kampong Speu,riverine flood,0.0001137915339098771
Cambodia,Kampot,riverine flood,0.0002275830678197542
Cambodia,Preah Vihear,riverine flood,0.0001137915339098771
Cambodia,Pursat,riverine flood,0.0002275830678197542
Cambodia,Takeo,flash flood,0.0001137915339098771
China,Anhui Sheng,drought,0.0001137915339098771
China,Anhui Sheng,riverine flood,0.0002275830678197542
China,Anhui Sheng,severe weather,0.0001137915339098771
China,Anhui Sheng,tornado,0.0001137915339098771
China,Anhui Sheng,tropical cyclone,0.0003413746017296313
China,Beijing Shi,riverine flood,0.0001137915339098771
China,Beijing Shi,storm (general),0.0001137915339098771
China,Beijing Shi,tornado,0.0001137915339098771
China,Chongqing,flood (general),0.0001137915339098771
China,Chongqing Shi,drought,0.0001137915339098771
China,Chongqing Shi,flash flood,0.0001137915339098771
China,Chongqing Shi,riverine flood,0.0004551661356395084
China,Chongqing Shi,storm (general),0.0001137915339098771
China,Fujian,drought,0.0001137915339098771
China,Fujian,flood (general),0.0003413746017296313
China,Fujian,tropical cyclone,0.0001137915339098771
China,Fujian Sheng,flood (general),0.0001137915339098771
China,Fujian Sheng,riverine flood,0.0005689576695493855
China,Fujian Sheng,tropical cyclone,0.0009103322712790169
China,Gansu Sheng,flash flood,0.0002275830678197542
China,Gansu Sheng,ground movement,0.0001137915339098771
China,Gansu Sheng,landslide (wet),0.0001137915339098771
China,Gansu Sheng,riverine flood,0.0004551661356395084
China,Gansu Sheng,severe weather,0.0001137915339098771
China,Guandong,flash flood,0.0001137915339098771
China,Guangdong,tornado,0.0002275830678197542
China,Guangdong Sheng,lightning/thunderstorms,0.0002275830678197542
China,Guangdong Sheng,tropical cyclone,0.0007965407373691397
China,Guangxi Zhuangzu Zizhiqu,cold wave,0.0001137915339098771
China,Guangxi Zhuangzu Zizhiqu,lightning/thunderstorms,0.0002275830678197542
China,Guangxi Zhuangzu Zizhiqu,riverine flood,0.0004551661356395084
China,Guangxi Zhuangzu Zizhiqu,tropical cyclone,0.0009103322712790169
China,Guizhou Sheng,flash flood,0.0003413746017296313
China,Guizhou Sheng,flood (general),0.0001137915339098771
China,Guizhou Sheng,lightning/thunderstorms,0.0003413746017296313
China,Guizhou Sheng,riverine flood,0.001024123805188894
China,Guizhou Sheng,storm (general),0.0001137915339098771
China,Hainan Sheng,blizzard/winter storm,0.0001137915339098771
China,Hainan Sheng,flood (general),0.0001137915339098771
China,Hainan Sheng,riverine flood,0.0001137915339098771
China,Hainan Sheng,storm (general),0.0002275830678197542
China,Hainan Sheng,tropical cyclone,0.0006827492034592626
China,Heilongjiang Sheng,flash flood,0.0001137915339098771
China,Heilongjiang Sheng,lightning/thunderstorms,0.0001137915339098771
China,Henan,severe weather,0.0001137915339098771
China,Henan Sheng,blizzard/winter storm,0.0001137915339098771
China,Henan Sheng,drought,0.0001137915339098771
China,Henan Sheng,riverine flood,0.0001137915339098771
China,Hubei Sheng,blizzard/winter storm,0.0001137915339098771
China,Hubei Sheng,drought,0.0001137915339098771
China,Hubei Sheng,ground movement,0.0001137915339098771
China,Hubei Sheng,riverine flood,0.0003413746017296313
China,Hubei Sheng,tropical cyclone,0.0001137915339098771
China,Hunan Sheng,flood (general),0.0002275830678197542
China,Hunan Sheng,hail,0.0001137915339098771
China,Hunan Sheng,riverine flood,0.0005689576695493855
China,Hunan Sheng,tropical cyclone,0.0001137915339098771
China,Jiangsu Sheng,blizzard/winter storm,0.0001137915339098771
China,Jiangsu Sheng,drought,0.0001137915339098771
China,Jiangsu Sheng,lightning/thunderstorms,0.0001137915339098771
China,Jiangsu Sheng,tornado,0.0001137915339098771
China,Jiangsu Sheng,tropical cyclone,0.0003413746017296313
China,Jiangxi Sheng,riverine flood,0.0003413746017296313
China,Jiangxi Sheng,severe winter conditions,0.0001137915339098771
China,Jiangxi Sheng,tropical cyclone,0.0002275830678197542
China,Jilin Sheng,riverine flood,0.0001137915339098771
China,Liaoning Sheng,riverine flood,0.0001137915339098771
China,Liaoning Sheng,severe weather,0.0001137915339098771
China,Nei Mongol Zizhiqu,blizzard/winter storm,0.0001137915339098771
