Country,Disaster Subtype,COUNT
Antigua and Barbuda,Tropical cyclone,3
Argentina,Ash fall,3
Argentina,Blizzard/Winter storm,1
Argentina,Cold wave,5
Argentina,Drought,3
Argentina,Flash flood,2
Argentina,Flood (General),16
Argentina,Forest fire,3
Argentina,Ground movement,2
Argentina,Landslide (wet),3
Argentina,Lightning/Thunderstorms,3
Argentina,Riverine flood,22
Argentina,Severe weather,3
Argentina,Severe winter conditions,1
Argentina,Storm (General),8
Argentina,Tropical cyclone,1
Argentina,Wildfire (General),2
Bahamas,Riverine flood,1
Bahamas,Tropical cyclone,9
Barbados,Drought,1
Barbados,Ground movement,1
Barbados,Tropical cyclone,5
Belize,Flood (General),1
Belize,Riverine flood,1
Belize,Tropical cyclone,11
Bolivia (Plurinational State of),Ash fall,1
Bolivia (Plurinational State of),Blizzard/Winter storm,1
Bolivia (Plurinational State of),Cold wave,3
Bolivia (Plurinational State of),Drought,8
Bolivia (Plurinational State of),Flash flood,3
Bolivia (Plurinational State of),Flood (General),19
Bolivia (Plurinational State of),Forest fire,5
Bolivia (Plurinational State of),Heat wave,1
Bolivia (Plurinational State of),Landslide (wet),4
Bolivia (Plurinational State of),Mudslide,1
Bolivia (Plurinational State of),Riverine flood,17
Bolivia (Plurinational State of),Severe weather,1
Bolivia (Plurinational State of),Severe winter conditions,1
Bolivia (Plurinational State of),Wildfire (General),1
Brazil,Cold wave,2
Brazil,Drought,11
Brazil,Extra-tropical storm,1
Brazil,Flash flood,10
Brazil,Flood (General),46
Brazil,Forest fire,1
Brazil,Ground movement,1
Brazil,Heat wave,1
Brazil,Landslide (wet),2
Brazil,Lightning/Thunderstorms,2
Brazil,Mudslide,5
Brazil,Riverine flood,52
Brazil,Severe weather,3
Brazil,Storm (General),2
Brazil,Tornado,1
Brazil,Tropical cyclone,2
British Virgin Islands,Tropical cyclone,1
Canada,Blizzard/Winter storm,6
Canada,Cold wave,1
Canada,Derecho,1
Canada,Flash flood,3
Canada,Flood (General),10
Canada,Forest fire,10
Canada,Heat wave,2
Canada,Lightning/Thunderstorms,1
Canada,Riverine flood,20
Canada,Severe weather,4
Canada,Severe winter conditions,1
Canada,Storm (General),4
Canada,Tornado,4
Canada,Tropical cyclone,5
Canada,Wildfire (General),2
Cayman Islands,Tropical cyclone,6
Chile,Ash fall,4
Chile,Blizzard/Winter storm,1
Chile,Cold wave,4
Chile,Flash flood,3
Chile,Flood (General),9
Chile,Forest fire,5
Chile,Ground movement,5
